Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"S28","PG151101S11","SW_Cherry_MX_1.50u_PCB",302.389800,-69.620000,0.000000,top
"S29","PG151101S11","SW_Cherry_MX_1.75u_PCB",47.625000,-88.670000,0.000000,top
"S30","PG151101S11","SW_Cherry_MX_1.00u_PCB",73.815200,-88.670000,0.000000,top
"S31","PG151101S11","SW_Cherry_MX_1.00u_PCB",92.865200,-88.670000,0.000000,top
"S32","PG151101S11","SW_Cherry_MX_1.00u_PCB",111.915200,-88.670000,0.000000,top
"S33","PG151101S11","SW_Cherry_MX_1.00u_PCB",130.965200,-88.670000,0.000000,top
"S34","PG151101S11","SW_Cherry_MX_1.00u_PCB",150.015200,-88.670000,0.000000,top
"S35","PG151101S11","SW_Cherry_MX_1.00u_PCB",169.065200,-88.670000,0.000000,top
"S36","PG151101S11","SW_Cherry_MX_1.00u_PCB",188.115200,-88.670000,0.000000,top
"S37","PG151101S11","SW_Cherry_MX_1.00u_PCB",207.165200,-88.670000,0.000000,top
"S38","PG151101S11","SW_Cherry_MX_1.00u_PCB",226.215200,-88.670000,0.000000,top
"S39","PG151101S11","SW_Cherry_MX_1.00u_PCB",245.265200,-88.670000,0.000000,top
"S40","PG151101S11","SW_Cherry_MX_1.00u_PCB",264.315200,-88.670000,0.000000,top
"S41","PG151101S11","SW_Cherry_MX_2.25u_PCB",295.252400,-88.680200,0.000000,top
"S42","PG151101S11","SW_Cherry_MX_2.25u_PCB",52.403000,-107.720000,0.000000,top
"S43","PG151101S11","SW_Cherry_MX_1.00u_PCB",83.391000,-107.720000,0.000000,top
"S44","PG151101S11","SW_Cherry_MX_1.00u_PCB",102.441000,-107.720000,0.000000,top
"S45","PG151101S11","SW_Cherry_MX_1.00u_PCB",121.491000,-107.720000,0.000000,top
"S46","PG151101S11","SW_Cherry_MX_1.00u_PCB",140.541000,-107.720000,0.000000,top
"S47","PG151101S11","SW_Cherry_MX_1.00u_PCB",159.591000,-107.720000,0.000000,top
"S48","PG151101S11","SW_Cherry_MX_1.00u_PCB",178.641000,-107.720000,0.000000,top
"S49","PG151101S11","SW_Cherry_MX_1.00u_PCB",197.691000,-107.720000,0.000000,top
"S50","PG151101S11","SW_Cherry_MX_1.00u_PCB",216.741000,-107.720000,0.000000,top
"S51","PG151101S11","SW_Cherry_MX_1.00u_PCB",235.791000,-107.720000,0.000000,top
"S52","PG151101S11","SW_Cherry_MX_1.00u_PCB",254.841000,-107.720000,0.000000,top
"S53","PG151101S11","SW_Cherry_MX_1.75u_PCB",281.003000,-107.720000,0.000000,top
"S54","PG151101S11","SW_Cherry_MX_1.25u_PCB",42.925000,-126.830000,0.000000,top
"S55","PG151101S11","SW_Cherry_MX_1.25u_PCB",66.755000,-126.830000,0.000000,top
"S56","PG151101S11","SW_Cherry_MX_1.25u_PCB",90.565000,-126.830000,0.000000,top
