Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"S8","PG151101S11","SW_Cherry_MX_1.00u_PCB",173.830000,-50.550000,0.000000,top
"S9","PG151101S11","SW_Cherry_MX_1.00u_PCB",192.870000,-50.550000,0.000000,top
"S10","PG151101S11","SW_Cherry_MX_1.00u_PCB",211.930000,-50.550000,0.000000,top
"S11","PG151101S11","SW_Cherry_MX_1.00u_PCB",230.980000,-50.550000,0.000000,top
"S12","PG151101S11","SW_Cherry_MX_1.00u_PCB",250.030000,-50.550000,0.000000,top
"S13","PG151101S11","SW_Cherry_MX_1.00u_PCB",269.080000,-50.550000,0.000000,top
"S14","PG151101S11","SW_Cherry_MX_2.00u_PCB",297.655000,-50.550000,0.000000,top
"S15","PG151101S11","SW_Cherry_MX_1.50u_PCB",45.240000,-69.610000,0.000000,top
"S16","PG151101S11","SW_Cherry_MX_1.00u_PCB",69.055000,-69.600000,0.000000,top
"S17","PG151101S11","SW_Cherry_MX_1.00u_PCB",88.105000,-69.600000,0.000000,top
"S18","PG151101S11","SW_Cherry_MX_1.00u_PCB",107.155000,-69.600000,0.000000,top
"S19","PG151101S11","SW_Cherry_MX_1.00u_PCB",126.205000,-69.600000,0.000000,top
"S20","PG151101S11","SW_Cherry_MX_1.00u_PCB",145.255000,-69.600000,0.000000,top
"S21","PG151101S11","SW_Cherry_MX_1.00u_PCB",164.305000,-69.600000,0.000000,top
"S22","PG151101S11","SW_Cherry_MX_1.00u_PCB",183.355000,-69.600000,0.000000,top
"S23","PG151101S11","SW_Cherry_MX_1.00u_PCB",202.405000,-69.600000,0.000000,top
"S24","PG151101S11","SW_Cherry_MX_1.00u_PCB",221.455000,-69.600000,0.000000,top
"S25","PG151101S11","SW_Cherry_MX_1.00u_PCB",240.505000,-69.600000,0.000000,top
"S26","PG151101S11","SW_Cherry_MX_1.00u_PCB",259.555000,-69.600000,0.000000,top
"S27","PG151101S11","SW_Cherry_MX_1.00u_PCB",278.605000,-69.590000,0.000000,top
"S28","PG151101S11","SW_Cherry_MX_1.50u_PCB",302.415000,-69.590000,0.000000,top
"S29","PG151101S11","SW_Cherry_MX_1.75u_PCB",47.625000,-88.670000,0.000000,top
"S30","PG151101S11","SW_Cherry_MX_1.00u_PCB",73.815200,-88.670000,0.000000,top
"S31","PG151101S11","SW_Cherry_MX_1.00u_PCB",92.865200,-88.670000,0.000000,top
"S32","PG151101S11","SW_Cherry_MX_1.00u_PCB",111.915200,-88.670000,0.000000,top
